date,geo_score,geo_score_raw,nb_articles_scored
2022-01-03,-0.03150899380487513,-0.03150899380487513,13.0
2022-01-04,-0.06704793633864777,-0.1025868788724204,15.0
2022-01-05,0.05291101664098701,0.29282892260025656,7.0
2022-01-06,0.019411886529415678,-0.13200638413958912,5.0
2022-01-07,-0.06083479735319657,-0.34332693052025715,6.0
2022-01-10,-0.146016055045991,0.03728514952187333,9.0
2022-01-11,-0.09616102201639443,0.01755871494920045,7.0
2022-01-12,0.04736881427697264,0.08726257835984413,7.0
2022-01-13,0.06371157147374015,0.08631342111217588,6.0
2022-01-14,0.06536314428982692,0.022513433397460758,8.0
2022-01-18,0.030955729532228037,-0.015959665912952527,7.0
2022-01-19,-0.08929881649284432,-0.2744502169630412,8.0
2022-01-20,-0.18286511879345493,-0.25818547350437104,8.0
2022-01-21,-0.2518669959066267,-0.2229652972524678,13.0
2022-01-24,-0.3010858911924204,-0.42210690282042246,24.0
2022-01-25,-0.2882771833420548,-0.2197593499532741,8.0
2022-01-26,-0.29749898642672706,-0.25063070650648456,11.0
2022-01-27,-0.2395125621393238,-0.24814762995821266,5.0
2022-01-28,-0.22119423829217133,-0.1648043784118167,7.0
2022-01-31,-0.26680152175517374,-0.38745255689549174,11.0
2022-02-01,-0.22263331376012085,-0.11564300597305395,5.0
2022-02-02,-0.21932754972177682,-0.15488708629678458,8.0
2022-02-03,-0.06194517719309537,0.08469456069055253,10.0
2022-02-04,0.0032929909406102845,0.08007149842806302,8.0
2022-02-07,0.07211116282633467,0.05156742936038859,12.0
2022-02-08,0.051430232889170695,0.02265177087906057,11.0
2022-02-09,0.03830607919930193,0.04069903735845673,10.0
2022-02-10,-0.009064574210074556,-0.09054453086774085,7.0
2022-02-11,-0.01865980348847784,-0.0061339169561492775,10.0
2022-02-14,-0.05932610376441692,-0.08129986346936052,8.0
2022-02-15,-0.12477706875675487,-0.2868974258447547,7.0
2022-02-16,-0.25722631206824537,-0.40348164689062077,3.0
2022-02-17,-0.2219028866124733,0.024670412897955723,3.0
2022-02-18,-0.1968151376154056,-0.21163417885355157,6.0
2022-02-22,-0.22235282262268452,-0.4800947019124575,12.0
2022-02-23,-0.33670084260875965,-0.31837364706026977,17.0
2022-02-24,-0.2717937176874427,-0.016912804089600615,13.0
2022-02-25,-0.10295759945018902,0.02641365279930346,6.0
2022-02-28,0.0019961234197733526,-0.0035124784503826204,6.0
2022-03-01,0.06239405126477477,0.16428097944540365,8.0
2022-03-02,0.0905111839898924,0.11076505097465637,7.0
2022-03-03,0.07911149714850303,-0.03771153897455075,5.0
2022-03-04,-0.12853703643632264,-0.4586646213090734,9.0
2022-03-07,-0.2791420913168849,-0.34105011366703025,8.0
2022-03-08,-0.32147730101132166,-0.16471716805786127,2.0
2022-03-09,-0.3478250566171332,-0.5377078881265079,7.0
2022-03-10,-0.2014413685824151,0.09810095043712407,5.0
2022-03-11,-0.167272617507587,-0.06221091483337705,9.0
2022-03-14,-0.17160614872811167,-0.550708481788082,12.0
2022-03-15,-0.15730213729757303,0.14101298472874005,6.0
2022-03-16,-0.09759516505604748,0.11691000189119956,12.0
2022-03-17,0.13934494908642184,0.16011186063932598,6.0
2022-03-18,0.06280271410711591,-0.08861372020917768,6.0
2022-03-21,0.09159099450551965,0.20327484308641075,10.0
2022-03-22,0.03398196041828621,-0.012715241622374317,4.0
2022-03-23,0.01746177127775846,-0.13817428763076095,9.0
2022-03-24,-0.0907731280549597,-0.12142985491174377,8.0
2022-03-25,-0.12999728163161076,-0.13038770235232747,5.0
2022-03-28,-0.11841306743692213,-0.10342164504669504,10.0
2022-03-29,-0.11952488686824157,-0.12476531320570207,6.0
2022-03-30,-0.2136978753870147,-0.41290666790864694,6.0
2022-03-31,-0.10000593407719055,0.23765417888277746,7.0
2022-04-01,0.031040651851297563,0.2683744445797623,10.0
2022-04-04,0.239360213632708,0.2120520174355844,11.0
2022-04-05,0.15570695571799104,-0.013305594861373485,6.0
2022-04-06,-0.1409878298223188,-0.6217099120411672,8.0
2022-04-07,-0.1748579683719795,0.1104416017866023,7.0
2022-04-08,-0.11214540876494396,0.17483208395973315,6.0
2022-04-11,0.15433107554463796,0.17771954088757858,6.0
2022-04-12,0.15340182396789429,0.10765384705637127,5.0
2022-04-13,0.09827023610312141,0.009437320365414486,10.0
2022-04-14,0.043408397870374565,0.013134026189338066,10.0
2022-04-18,-0.02792984957437303,-0.10636089527787154,7.0
2022-04-19,-0.06882657698430789,-0.11325286186439006,7.0
2022-04-20,-0.24028370316628825,-0.501237352356603,8.0
2022-04-21,-0.28001049576886317,-0.2255412730855963,4.0
2022-04-22,-0.3148333823364587,-0.21772152156717664,7.0
2022-04-25,-0.0071791177583216586,0.42172544137780804,6.0
2022-04-26,-0.0014940849402184004,-0.20848617463128652,8.0
2022-04-27,0.043157247871014194,-0.08376752313347885,10.0
2022-04-28,-0.1702462197072543,-0.21848496135699735,4.0
2022-04-29,-0.2831388200470042,-0.5471639756505363,16.0
2022-05-02,-0.3803328172181533,-0.3753495146469263,9.0
2022-05-03,-0.33340920072949937,-0.07771411189103548,6.0
2022-05-04,-0.2410649093310189,-0.27013110145509495,8.0
2022-05-05,-0.19337716173533295,-0.23228627185986842,13.0
2022-05-06,-0.22942550039418885,-0.1858591278676032,8.0
2022-05-09,-0.2976956391633701,-0.47494151776263877,18.0
2022-05-10,-0.31590190429205883,-0.2869050672459345,16.0
2022-05-11,-0.3794697206288613,-0.3765625768780106,17.0
2022-05-12,-0.3488967896262228,-0.3832227247547234,11.0
2022-05-13,-0.373425720764938,-0.3604918606620801,12.0
2022-05-16,-0.371496326921472,-0.3707743953476126,13.0
2022-05-17,-0.2917522359458274,-0.14399045182778958,6.0
2022-05-18,-0.330958368310935,-0.47811025775740285,20.0
2022-05-19,-0.4131361779378038,-0.6173078242282188,20.0
2022-05-20,-0.4825550469801178,-0.35224705895473185,19.0
2022-05-23,-0.3791987463658338,-0.1680413559145507,13.0
2022-05-24,-0.11956004744911264,0.16160827252194465,13.0
2022-05-25,0.09042073109982136,0.27769527669207017,10.0
2022-05-26,0.11295764757137684,-0.10043060649988428,9.0
2022-05-27,0.012568483196084038,-0.13955922060393375,10.0
2022-05-31,-0.16738240288942427,-0.2621573815644548,7.0
2022-06-01,-0.10093143002757059,0.09892231208567684,7.0
2022-06-02,-0.09037246181556945,-0.10788231596793034,6.0
2022-06-03,0.0059892510530762865,0.026927757041482387,8.0
2022-06-06,-0.03646216387611169,-0.028431932701887083,7.0
2022-06-07,-0.17844340845981618,-0.5338260497190438,7.0
2022-06-08,-0.21763137850007996,-0.09063615307930893,8.0
2022-06-09,-0.21982358063571986,-0.03500853910880688,12.0
2022-06-10,-0.10985912070768948,-0.2039326699349526,9.0
2022-06-13,-0.22811840887151016,-0.4454140175707711,34.0
2022-06-14,-0.323520851924943,-0.3212158682691054,21.0
2022-06-15,-0.305576144954894,-0.15009854902480554,8.0
2022-06-16,-0.2616552059574589,-0.3136512005784656,10.0
2022-06-17,-0.2064145529642524,-0.155493909289486,11.0
2022-06-21,-0.16761821280231318,-0.03370952853898788,6.0
2022-06-22,-0.14640605559600986,-0.25001472895955573,6.0
2022-06-23,-0.16154549865155277,-0.20091223845611472,7.0
2022-06-24,-0.1470904565757297,0.009655597688481418,13.0
2022-06-27,-0.11262688232904612,-0.14662400621950505,10.0
2022-06-28,-0.1162972343440611,-0.21192329450115968,13.0
2022-06-29,-0.2501486150755426,-0.39189854450596306,12.0
2022-06-30,-0.38004682441854926,-0.536318634248525,18.0
2022-07-01,-0.436373265231427,-0.3809026169397932,12.0
2022-07-05,-0.24675956576240576,0.17694255390110078,11.0
2022-07-06,-0.04918918462594404,0.056392509160860346,6.0
2022-07-07,0.27694991131241586,0.5975146708752865,4.0
2022-07-08,0.17743709403352434,-0.1215958979355738,5.0
2022-07-11,0.14733550828440242,-0.03391224808650546,7.0
2022-07-12,-0.11858466515166884,-0.2002458494329272,3.0
2022-07-13,0.024131651431746337,0.30655305181467174,7.0
2022-07-14,-0.059417497269795026,-0.28455969419112953,6.0
2022-07-15,-0.21259531340114604,-0.6597792978269803,5.0
2022-07-18,-0.35073609683498114,-0.10786929848683356,11.0
2022-07-19,-0.3387942758601746,-0.2487342312667097,6.0
2022-07-20,-0.07417397464384472,0.13408160582200923,3.0
2022-07-21,-0.011947963765760294,0.07880873414741969,9.0
2022-07-22,0.11269215491523314,0.12518612477627056,7.0
2022-07-25,0.1626998997212521,0.28410484024006616,7.0
2022-07-26,0.14783295804116783,0.03420790910716685,2.0
2022-07-27,0.15826893063335892,0.15649404255284383,5.0
2022-07-28,0.1692933208627583,0.31717801092826436,4.0
2022-07-29,0.13396524179268826,-0.07177632810304331,6.0
2022-08-01,0.0413126997691461,-0.12146358351778264,11.0
2022-08-02,-0.11798118602996384,-0.16070364646906546,6.0
2022-08-03,-0.18831021410532398,-0.2827634123291237,6.0
2022-08-04,-0.22792010388578232,-0.2402932528591576,9.0
2022-08-05,-0.16749033111775102,0.020585671835028414,2.0
2022-08-08,-0.11711672390300298,-0.13164259068487963,9.0
2022-08-09,-0.028830638490812535,0.024565003377413727,2.0
2022-08-10,-0.06162082995627163,-0.07778490256134887,10.0
2022-08-11,-0.14070733878693145,-0.36890211717685906,6.0
2022-08-12,-0.06876480073284479,0.2403926175396737,10.0
2022-08-15,0.0432735948126571,0.2583302840751568,9.0
2022-08-16,0.13300849264596806,-0.09969742367692619,4.0
2022-08-17,-0.025025772690075415,-0.2337101784684567,9.0
2022-08-18,-0.20057406916987394,-0.26831460536423873,10.0
2022-08-19,-0.3132863872204405,-0.43783437782862594,6.0
2022-08-22,-0.310706033743668,-0.2259691180381392,8.0
2022-08-23,-0.3814486299215791,-0.4805423938979719,3.0
2022-08-24,-0.19874015922066,0.11029103427413119,5.0
2022-08-25,-0.05873005329688191,0.19406119973319502,3.0
2022-08-26,-0.05049613693343465,-0.45584064480763004,8.0
2022-08-29,-0.17980158937325683,-0.27762532304533527,8.0
2022-08-30,-0.2436626077612768,0.0024781445691350623,8.0
2022-08-31,-0.18123909415615594,-0.26857010399226755,14.0
2022-09-01,-0.1795225700782517,-0.27247575081162256,16.0
2022-09-02,-0.20914529988323496,-0.0863900448458147,8.0
2022-09-06,-0.1856340409265793,-0.19803632712230057,8.0
2022-09-07,-0.08776830030076033,0.02112147106583441,6.0
2022-09-08,-0.07021478692094889,-0.03372950470638037,6.0
2022-09-09,0.12716248851133932,0.39409549917456405,8.0
2022-09-12,0.07151067276272141,-0.14583397618001934,11.0
2022-09-13,-0.13283398984888906,-0.6467634925412118,14.0
2022-09-14,-0.3766469577580014,-0.33734340455277306,11.0
2022-09-15,-0.43850267961631745,-0.3314011417549674,10.0
2022-09-16,-0.3306346479724221,-0.32315939760952567,11.0
2022-09-19,-0.1842602516265114,0.10177978448495878,10.0
2022-09-20,-0.14731204448893853,-0.22055652034224862,7.0
2022-09-21,-0.049344390131435184,-0.02925643453701559,10.0
2022-09-22,-0.10132685342131485,-0.05416760538468021,7.0
2022-09-23,-0.1940397136405845,-0.4986951010000576,14.0
2022-09-26,-0.19758999142282593,-0.03990726788373983,11.0
2022-09-27,-0.36189188718240767,-0.5470732926634255,14.0
2022-09-28,-0.2570917845473651,-0.1842947930949297,7.0
2022-09-29,-0.4000288658538664,-0.46871851180324386,15.0
2022-09-30,-0.3126030227818517,-0.2847957634473815,15.0
2022-10-03,-0.24684775891064223,0.012970998518698849,14.0
2022-10-04,-0.14400957418584412,-0.16020395762884962,15.0
2022-10-05,-0.005766590029283508,0.12993318902230036,9.0
2022-10-06,0.07192674043233625,0.24605098990355814,5.0
2022-10-07,0.08228361589728454,-0.12913333123400475,9.0
2022-10-10,0.00980957592446259,-0.08748893089616551,5.0
2022-10-11,-0.2110997722660223,-0.4166770546678966,6.0
2022-10-12,-0.22381925381917558,-0.16729177589346464,13.0
2022-10-13,-0.18613882483499292,0.025552356056382508,12.0
2022-10-14,-0.03887757197546017,0.025106703910701727,13.0
2022-10-17,-0.003431955319856045,-0.060954925926652255,15.0
2022-10-18,0.01653806145289384,0.08546240637463216,10.0
2022-10-19,-0.021841389587518287,-0.09003164921053465,12.0
2022-10-20,0.04629771089578194,0.14346237552324842,5.0
2022-10-21,-0.0004596853510681065,-0.05480978236591798,12.0
