Price,Adj Close,Close,High,Low,Open,Volume,Ticker,Returns,Log_Returns
Ticker,^DJI,^DJI,^DJI,^DJI,^DJI,^DJI,,,
Date,,,,,,,,,
2022-01-03,36585.05859375,36585.05859375,36595.8203125,36246.44921875,36321.58984375,347930000,^DJI,,
2022-01-04,36799.6484375,36799.6484375,36934.83984375,36636.0,36636.0,435080000,^DJI,0.005865504990243631,0.005848369887220902
2022-01-05,36407.109375,36407.109375,36952.6484375,36400.390625,36722.6015625,462040000,^DJI,-0.010666924255178234,-0.010724223728755764
2022-01-06,36236.46875,36236.46875,36464.19140625,36200.6796875,36409.05078125,385890000,^DJI,-0.004687013825853903,-0.004698032317853238
2022-01-07,36231.66015625,36231.66015625,36382.83984375,36111.53125,36249.58984375,356110000,^DJI,-0.00013270039592361282,-0.00013270920140015407
2022-01-10,36068.87109375,36068.87109375,36175.2109375,35639.91015625,36175.2109375,430680000,^DJI,-0.004493005890372381,-0.004503129777174482
2022-01-11,36252.01953125,36252.01953125,36271.46875,35769.37890625,36058.8515625,356850000,^DJI,0.005077742439566935,0.005064894180504828
2022-01-12,36290.3203125,36290.3203125,36453.48828125,36168.1484375,36336.16015625,310180000,^DJI,0.001056514416168941,0.0010559566976037248
2022-01-13,36113.62109375,36113.62109375,36513.87890625,36044.21875,36312.48828125,343640000,^DJI,-0.004869045443204212,-0.004880937863830024
2022-01-14,35911.80859375,35911.80859375,35996.4296875,35641.48828125,35996.4296875,389200000,^DJI,-0.005588265421407113,-0.005603938192961185
2022-01-18,35368.46875,35368.46875,35661.76171875,35262.01953125,35661.76171875,427260000,^DJI,-0.015129837928701817,-0.01524546165447182
2022-01-19,35028.6484375,35028.6484375,35547.828125,35015.48828125,35412.30078125,393080000,^DJI,-0.009608001830726742,-0.009654456477342435
2022-01-20,34715.390625,34715.390625,35490.19921875,34670.12109375,35102.66015625,369070000,^DJI,-0.008942903208467579,-0.008983130982350507
2022-01-21,34265.37109375,34265.37109375,34896.671875,34229.55078125,34701.69140625,523880000,^DJI,-0.012963112992481318,-0.013047867392374344
2022-01-24,34364.5,34364.5,34420.98828125,33150.328125,34070.609375,664010000,^DJI,0.0028929762931440006,0.00288879969049698
2022-01-25,34297.73046875,34297.73046875,34591.0390625,33545.51953125,34186.640625,506430000,^DJI,-0.0019429798556650502,-0.0019448698896202224
2022-01-26,34168.08984375,34168.08984375,34815.671875,33876.48046875,34520.8203125,546330000,^DJI,-0.0037798601606634508,-0.003787021884653374
2022-01-27,34160.78125,34160.78125,34773.3203125,34007.78125,34261.75,527780000,^DJI,-0.0002139011511448352,-0.00021392403125884574
2022-01-28,34725.46875,34725.46875,34731.76953125,33807.51171875,34135.23828125,568440000,^DJI,0.0165302864670287,0.016395148494377662
2022-01-31,35131.859375,35131.859375,35148.140625,34496.1015625,34691.171875,468070000,^DJI,0.011702955773635226,0.011635005816460103
2022-02-01,35405.23828125,35405.23828125,35441.08984375,34977.94921875,35151.46875,386080000,^DJI,0.007781509749652971,0.007751389953415304
2022-02-02,35629.328125,35629.328125,35679.19921875,35290.12109375,35378.19140625,359540000,^DJI,0.0063292850049443405,0.006309339198163515
