Price,Adj Close,Close,High,Low,Open,Volume,Ticker,Returns,Log_Returns
Ticker,^FCHI,^FCHI,^FCHI,^FCHI,^FCHI,^FCHI,,,
Date,,,,,,,,,
2022-01-03,7217.22021484375,7217.22021484375,7245.66015625,7195.81982421875,7197.39990234375,54644700,^FCHI,,
2022-01-04,7317.41015625,7317.41015625,7332.2099609375,7250.240234375,7273.56982421875,77540000,^FCHI,0.013882067946352494,0.013786594604738652
2022-01-05,7376.3701171875,7376.3701171875,7384.85986328125,7313.52978515625,7320.47998046875,0,^FCHI,0.008057490242929788,0.008025201993962283
2022-01-06,7249.66015625,7249.66015625,7316.06005859375,7240.8798828125,7264.0,89793800,^FCHI,-0.017177820381091835,-0.017327070804954783
2022-01-07,7219.47998046875,7219.47998046875,7269.64990234375,7178.18017578125,7250.7900390625,78597800,^FCHI,-0.004162978005973317,-0.004171667322920678
2022-01-10,7115.77001953125,7115.77001953125,7250.240234375,7105.5498046875,7245.2099609375,80610700,^FCHI,-0.014365295176116843,-0.014469474947923786
2022-01-11,7183.3798828125,7183.3798828125,7227.7099609375,7160.43994140625,7185.2099609375,71633500,^FCHI,0.009501412088315897,0.009456557569495386
2022-01-12,7237.18994140625,7237.18994140625,7249.8798828125,7183.3798828125,7235.47021484375,85271800,^FCHI,0.007490910890359581,0.007462993349232872
2022-01-13,7201.14013671875,7201.14013671875,7227.35009765625,7166.93994140625,7215.47998046875,81834900,^FCHI,-0.004981188137849979,-0.0049936356081472745
2022-01-14,7143.0,7143.0,7171.39990234375,7119.009765625,7132.58984375,79772300,^FCHI,-0.008073740493160564,-0.008106509634817294
2022-01-17,7201.64013671875,7201.64013671875,7213.7001953125,7148.97998046875,7167.52978515625,53465300,^FCHI,0.008209454951525919,0.008175940673923354
2022-01-18,7133.830078125,7133.830078125,7175.4599609375,7098.18994140625,7172.43017578125,78561500,^FCHI,-0.009415918777725296,-0.009460528791287356
2022-01-19,7172.97998046875,7172.97998046875,7211.240234375,7104.10986328125,7104.10986328125,84173800,^FCHI,0.005487921903802873,0.005472918128392723
2022-01-20,7194.16015625,7194.16015625,7199.97021484375,7123.6201171875,7190.02001953125,76932800,^FCHI,0.00295277218658363,0.0029484213174368014
2022-01-21,7068.58984375,7068.58984375,7122.06005859375,7013.490234375,7088.43994140625,110697300,^FCHI,-0.017454478323075673,-0.01760860381644039
2022-01-24,6787.7900390625,6787.7900390625,7070.919921875,6754.240234375,7014.83984375,0,^FCHI,-0.03972501034782505,-0.04053558798417405
2022-01-25,6837.9599609375,6837.9599609375,6890.5400390625,6776.7998046875,6870.27001953125,98212900,^FCHI,0.007391201198958974,0.007364020123073643
2022-01-26,6981.9599609375,6981.9599609375,7024.14013671875,6901.740234375,6901.740234375,0,^FCHI,0.02105891242748048,0.020840238230424035
2022-01-27,7023.7998046875,7023.7998046875,7053.4501953125,6873.60009765625,6879.64013671875,100076500,^FCHI,0.0059925642633422704,0.005974680261903256
2022-01-28,6965.8798828125,6965.8798828125,7053.0,6846.22021484375,7043.43017578125,106663500,^FCHI,-0.008246237575898152,-0.008280425872582766
2022-01-31,6999.2001953125,6999.2001953125,7043.22021484375,6937.10009765625,7039.7099609375,90912900,^FCHI,0.0047833601871623,0.0047719562713875825
2022-02-01,7099.490234375,7099.490234375,7105.22998046875,7035.91015625,7052.2998046875,81607500,^FCHI,0.014328785613199946,0.014227098779427417
2022-02-02,7115.27001953125,7115.27001953125,7150.5400390625,7109.2998046875,7117.4501953125,0,^FCHI,0.0022226645343979,0.002220198069654666
2022-02-03,7005.6298828125,7005.6298828125,7125.580078125,6995.41015625,7115.2998046875,88710000,^FCHI,-0.01540913224906304,-0.015529086786428567
2022-02-04,6951.3798828125,6951.3798828125,7066.43994140625,6914.77001953125,7049.7998046875,0,^FCHI,-0.007743771924505483,-0.007773910618585721
2022-02-07,7009.25,7009.25,7025.58984375,6929.7099609375,6987.169921875,72651700,^FCHI,0.008324982688773241,0.008290521149433513
2022-02-08,7028.41015625,7028.41015625,7085.64013671875,6994.14990234375,7008.2001953125,95664200,^FCHI,0.0027335529835574857,0.0027298236223256317
2022-02-09,7130.8798828125,7130.8798828125,7146.31005859375,7086.33984375,7086.33984375,86888200,^FCHI,0.01457936066400145,0.014474103605678692
2022-02-10,7101.5498046875,7101.5498046875,7169.6298828125,7051.60009765625,7141.68994140625,86508200,^FCHI,-0.004113107864247456,-0.004121589958902008
2022-02-11,7011.60009765625,7011.60009765625,7071.009765625,6992.08984375,7025.5,82859100,^FCHI,-0.012666208011647972,-0.012747108283428888
2022-02-14,6852.2001953125,6852.2001953125,6875.31005859375,6757.330078125,6868.06982421875,117972900,^FCHI,-0.022733741246456995,-0.022996137196467058
2022-02-15,6979.97021484375,6979.97021484375,6983.14013671875,6823.4501953125,6830.740234375,92474100,^FCHI,0.018646568385240148,0.018474852453214213
2022-02-16,6964.97998046875,6964.97998046875,7031.93017578125,6931.08984375,7009.68994140625,74789000,^FCHI,-0.0021476072122945666,-0.0021499166277343163
2022-02-17,6946.81982421875,6946.81982421875,7017.06982421875,6905.68994140625,6999.1298828125,90183200,^FCHI,-0.002607352253836348,-0.002610757316811046
2022-02-18,6929.6298828125,6929.6298828125,6995.6201171875,6895.08984375,6951.830078125,87348900,^FCHI,-0.002474505146415451,-0.0024775717942771267
2022-02-21,6788.33984375,6788.33984375,6986.830078125,6744.1298828125,6984.31005859375,0,^FCHI,-0.02038926197385238,-0.020599992320524087
2022-02-22,6787.60009765625,6787.60009765625,6834.77001953125,6633.740234375,6633.740234375,101457400,^FCHI,-0.00010897304949031295,-0.00010897898748446202
2022-02-23,6780.669921875,6780.669921875,6904.81005859375,6768.3798828125,6801.66015625,86393600,^FCHI,-0.0010210053158027366,-0.0010215268967850456
2022-02-24,6521.0498046875,6521.0498046875,6617.08984375,6432.89013671875,6496.25,207949400,^FCHI,-0.03828826947466413,-0.03904052964095606
2022-02-25,6752.43017578125,6752.43017578125,6762.77978515625,6521.56005859375,6571.9501953125,152427400,^FCHI,0.03548207390279834,0.034867090166039116
2022-02-28,6658.830078125,6658.830078125,6684.5400390625,6516.16015625,6620.47998046875,171929700,^FCHI,-0.013861690564674456,-0.013958660955896318
2022-03-01,6396.490234375,6396.490234375,6662.25,6396.490234375,6646.16015625,171611200,^FCHI,-0.039397287612401466,-0.0401943661164254
2022-03-02,6498.02001953125,6498.02001953125,6544.14990234375,6312.2998046875,6359.97998046875,169994900,^FCHI,0.015872733551694385,0.015748079058049713
2022-03-03,6378.3701171875,6378.3701171875,6543.77001953125,6361.60009765625,6488.25,132457000,^FCHI,-0.018413286198582846,-0.01858492092416769
2022-03-04,6061.66015625,6061.66015625,6321.08984375,6061.66015625,6308.33984375,180586100,^FCHI,-0.0496537446273424,-0.0509288814543701
2022-03-07,5982.27001953125,5982.27001953125,6115.22998046875,5756.3798828125,5887.830078125,243010200,^FCHI,-0.013097094636177031,-0.013183617879212153
2022-03-08,5962.9599609375,5962.9599609375,6169.60009765625,5903.10009765625,5906.6201171875,168209400,^FCHI,-0.0032278814782190635,-0.0032331023255159157
2022-03-09,6387.830078125,6387.830078125,6387.830078125,6122.7998046875,6131.27978515625,189777300,^FCHI,0.07125154620704532,0.06882763429594767
2022-03-10,6207.2001953125,6207.2001953125,6380.77001953125,6166.10986328125,6376.56982421875,148747200,^FCHI,-0.02827718968778825,-0.028684689767613406
2022-03-11,6260.25,6260.25,6466.1201171875,6165.41015625,6233.1201171875,136389500,^FCHI,0.008546494879859257,0.008510180353741084
2022-03-14,6369.93994140625,6369.93994140625,6421.080078125,6271.81982421875,6298.9599609375,113227400,^FCHI,0.01752165511061854,0.017369920772138885
2022-03-15,6355.0,6355.0,6383.75,6206.0498046875,6294.72021484375,102702800,^FCHI,-0.002345381831488913,-0.002348136547540202
2022-03-16,6588.64013671875,6588.64013671875,6680.0,6481.7001953125,6484.330078125,145251100,^FCHI,0.03676477367722275,0.036105070032910545
2022-03-17,6612.52001953125,6612.52001953125,6635.31005859375,6530.7900390625,6617.22998046875,100583800,^FCHI,0.0036244023526821323,0.0036178500338622777
2022-03-18,6620.240234375,6620.240234375,6620.240234375,6499.58984375,6613.9501953125,191790200,^FCHI,0.0011675147781704531,0.0011668337628039603
2022-03-21,6582.330078125,6582.330078125,6642.4599609375,6574.06982421875,6608.7900390625,78342900,^FCHI,-0.005726401899005862,-0.005742860601198375
2022-03-22,6659.41015625,6659.41015625,6666.83984375,6578.91015625,6586.64990234375,79017900,^FCHI,0.011710150844783662,0.011642117632752021
2022-03-23,6581.43017578125,6581.43017578125,6684.7001953125,6559.31005859375,6674.68017578125,76824400,^FCHI,-0.011709742850958715,-0.011778841840393945
2022-03-24,6555.77001953125,6555.77001953125,6636.580078125,6541.31982421875,6593.14990234375,82199900,^FCHI,-0.0038988723673504255,-0.003906492784022475
2022-03-25,6553.68017578125,6553.68017578125,6615.89990234375,6538.7998046875,6569.4501953125,73936900,^FCHI,-0.0003187792957614066,-0.0003188301166818348
2022-03-28,6589.10986328125,6589.10986328125,6683.7001953125,6572.009765625,6578.72021484375,78385700,^FCHI,0.005406075143997491,0.005391514772501525
2022-03-29,6792.16015625,6792.16015625,6829.39990234375,6658.77978515625,6675.14990234375,110146300,^FCHI,0.030816043013681904,0.030350763328124992
2022-03-30,6741.58984375,6741.58984375,6771.08984375,6705.68994140625,6771.08984375,80090300,^FCHI,-0.007445394592685894,-0.007473249891594712
2022-03-31,6659.8701171875,6659.8701171875,6776.1298828125,6658.740234375,6759.419921875,81436400,^FCHI,-0.012121729214698673,-0.012195796532147179
2022-04-01,6684.31005859375,6684.31005859375,6708.56005859375,6635.27001953125,6672.97998046875,65149500,^FCHI,0.0036697324386516517,0.003663015398709954
2022-04-04,6731.3701171875,6731.3701171875,6745.22021484375,6641.60986328125,6709.60009765625,65186300,^FCHI,0.0070403763711179845,0.007015708633823618
2022-04-05,6645.509765625,6645.509765625,6743.6201171875,6603.43994140625,6731.33984375,103817600,^FCHI,-0.012755256369467616,-0.012837303083254464
2022-04-06,6498.830078125,6498.830078125,6643.75,6442.43994140625,6634.830078125,104806100,^FCHI,-0.022071999391036212,-0.022319230666571464
2022-04-07,6461.68017578125,6461.68017578125,6582.33984375,6451.10009765625,6530.81982421875,94476400,^FCHI,-0.005716398474364781,-0.005732799613621007
2022-04-08,6548.22021484375,6548.22021484375,6581.56005859375,6494.6298828125,6540.2001953125,91669300,^FCHI,0.013392807552880193,0.01330391669175882
2022-04-11,6555.81005859375,6555.81005859375,6614.9599609375,6502.14013671875,6558.52978515625,87321100,^FCHI,0.001159069716805572,0.0011583985140984536
2022-04-12,6537.41015625,6537.41015625,6570.75,6424.97021484375,6454.25,84720600,^FCHI,-0.0028066558029133937,-0.0028106018464983166
2022-04-13,6542.14013671875,6542.14013671875,6563.9599609375,6478.4501953125,6519.16015625,72469400,^FCHI,0.0007235251201469506,0.0007232635020311222
2022-04-14,6589.35009765625,6589.35009765625,6607.5498046875,6541.89990234375,6557.66015625,79048700,^FCHI,0.007216287017840939,0.0071903742068536326
2022-04-19,6534.7900390625,6534.7900390625,6566.7998046875,6494.330078125,6545.97021484375,0,^FCHI,-0.00828003638980368,-0.008314506297712848
2022-04-20,6624.91015625,6624.91015625,6636.5498046875,6542.2099609375,6557.9599609375,87010800,^FCHI,0.013790820615321442,0.013696592581623994
2022-04-21,6715.10009765625,6715.10009765625,6757.75,6636.7900390625,6642.7099609375,88762200,^FCHI,0.013613760681896014,0.013521925980286545
2022-04-22,6581.419921875,6581.419921875,6654.64013671875,6572.8701171875,6618.68994140625,83469100,^FCHI,-0.0199073988231252,-0.020108220784701463
2022-04-25,6449.3798828125,6449.3798828125,6512.259765625,6408.7099609375,6450.89990234375,94933200,^FCHI,-0.020062545868503534,-0.020266531669049567
2022-04-26,6414.56982421875,6414.56982421875,6535.919921875,6412.490234375,6520.009765625,95230800,^FCHI,-0.005397427229634655,-0.005412045966089864
2022-04-27,6445.259765625,6445.259765625,6474.9599609375,6338.60986328125,6427.39990234375,92040000,^FCHI,0.004784411464409999,0.004773002543389482
2022-04-28,6508.14013671875,6508.14013671875,6575.9501953125,6435.75,6520.52978515625,76048900,^FCHI,0.00975606467083212,0.00970878155459604
2022-04-29,6533.77001953125,6533.77001953125,6601.14990234375,6514.10009765625,6557.66015625,83799400,^FCHI,0.003938127064581298,0.003930392940851114
2022-05-02,6425.60986328125,6425.60986328125,6474.81005859375,6308.47021484375,6469.31005859375,87523700,^FCHI,-0.01655401949053603,-0.016692568427167976
2022-05-03,6476.18017578125,6476.18017578125,6507.1298828125,6423.02978515625,6463.72998046875,83360000,^FCHI,0.007870118724291109,0.007839310875308245
2022-05-04,6395.68017578125,6395.68017578125,6494.990234375,6395.68017578125,6482.259765625,72296900,^FCHI,-0.012430166829058176,-0.01250806757206788
