Price,Adj Close,Close,High,Low,Open,Volume,Ticker
Ticker,^FCHI,^FCHI,^FCHI,^FCHI,^FCHI,^FCHI,
Date,,,,,,,
2022-01-03,7217.22021484375,7217.22021484375,7245.66015625,7195.81982421875,7197.39990234375,54644700,^FCHI
2022-01-04,7317.41015625,7317.41015625,7332.2099609375,7250.240234375,7273.56982421875,77540000,^FCHI
2022-01-05,7376.3701171875,7376.3701171875,7384.85986328125,7313.52978515625,7320.47998046875,0,^FCHI
2022-01-06,7249.66015625,7249.66015625,7316.06005859375,7240.8798828125,7264.0,89793800,^FCHI
2022-01-07,7219.47998046875,7219.47998046875,7269.64990234375,7178.18017578125,7250.7900390625,78597800,^FCHI
2022-01-10,7115.77001953125,7115.77001953125,7250.240234375,7105.5498046875,7245.2099609375,80610700,^FCHI
2022-01-11,7183.3798828125,7183.3798828125,7227.7099609375,7160.43994140625,7185.2099609375,71633500,^FCHI
2022-01-12,7237.18994140625,7237.18994140625,7249.8798828125,7183.3798828125,7235.47021484375,85271800,^FCHI
2022-01-13,7201.14013671875,7201.14013671875,7227.35009765625,7166.93994140625,7215.47998046875,81834900,^FCHI
2022-01-14,7143.0,7143.0,7171.39990234375,7119.009765625,7132.58984375,79772300,^FCHI
2022-01-17,7201.64013671875,7201.64013671875,7213.7001953125,7148.97998046875,7167.52978515625,53465300,^FCHI
2022-01-18,7133.830078125,7133.830078125,7175.4599609375,7098.18994140625,7172.43017578125,78561500,^FCHI
2022-01-19,7172.97998046875,7172.97998046875,7211.240234375,7104.10986328125,7104.10986328125,84173800,^FCHI
2022-01-20,7194.16015625,7194.16015625,7199.97021484375,7123.6201171875,7190.02001953125,76932800,^FCHI
2022-01-21,7068.58984375,7068.58984375,7122.06005859375,7013.490234375,7088.43994140625,110697300,^FCHI
2022-01-24,6787.7900390625,6787.7900390625,7070.919921875,6754.240234375,7014.83984375,0,^FCHI
2022-01-25,6837.9599609375,6837.9599609375,6890.5400390625,6776.7998046875,6870.27001953125,98212900,^FCHI
2022-01-26,6981.9599609375,6981.9599609375,7024.14013671875,6901.740234375,6901.740234375,0,^FCHI
2022-01-27,7023.7998046875,7023.7998046875,7053.4501953125,6873.60009765625,6879.64013671875,100076500,^FCHI
2022-01-28,6965.8798828125,6965.8798828125,7053.0,6846.22021484375,7043.43017578125,106663500,^FCHI
2022-01-31,6999.2001953125,6999.2001953125,7043.22021484375,6937.10009765625,7039.7099609375,90912900,^FCHI
2022-02-01,7099.490234375,7099.490234375,7105.22998046875,7035.91015625,7052.2998046875,81607500,^FCHI
2022-02-02,7115.27001953125,7115.27001953125,7150.5400390625,7109.2998046875,7117.4501953125,0,^FCHI
2022-02-03,7005.6298828125,7005.6298828125,7125.580078125,6995.41015625,7115.2998046875,88710000,^FCHI
2022-02-04,6951.3798828125,6951.3798828125,7066.43994140625,6914.77001953125,7049.7998046875,0,^FCHI
2022-02-07,7009.25,7009.25,7025.58984375,6929.7099609375,6987.169921875,72651700,^FCHI
2022-02-08,7028.41015625,7028.41015625,7085.64013671875,6994.14990234375,7008.2001953125,95664200,^FCHI
2022-02-09,7130.8798828125,7130.8798828125,7146.31005859375,7086.33984375,7086.33984375,86888200,^FCHI
2022-02-10,7101.5498046875,7101.5498046875,7169.6298828125,7051.60009765625,7141.68994140625,86508200,^FCHI
2022-02-11,7011.60009765625,7011.60009765625,7071.009765625,6992.08984375,7025.5,82859100,^FCHI
2022-02-14,6852.2001953125,6852.2001953125,6875.31005859375,6757.330078125,6868.06982421875,117972900,^FCHI
2022-02-15,6979.97021484375,6979.97021484375,6983.14013671875,6823.4501953125,6830.740234375,92474100,^FCHI
2022-02-16,6964.97998046875,6964.97998046875,7031.93017578125,6931.08984375,7009.68994140625,74789000,^FCHI
2022-02-17,6946.81982421875,6946.81982421875,7017.06982421875,6905.68994140625,6999.1298828125,90183200,^FCHI
2022-02-18,6929.6298828125,6929.6298828125,6995.6201171875,6895.08984375,6951.830078125,87348900,^FCHI
2022-02-21,6788.33984375,6788.33984375,6986.830078125,6744.1298828125,6984.31005859375,0,^FCHI
2022-02-22,6787.60009765625,6787.60009765625,6834.77001953125,6633.740234375,6633.740234375,101457400,^FCHI
2022-02-23,6780.669921875,6780.669921875,6904.81005859375,6768.3798828125,6801.66015625,86393600,^FCHI
2022-02-24,6521.0498046875,6521.0498046875,6617.08984375,6432.89013671875,6496.25,207949400,^FCHI
2022-02-25,6752.43017578125,6752.43017578125,6762.77978515625,6521.56005859375,6571.9501953125,152427400,^FCHI
2022-02-28,6658.830078125,6658.830078125,6684.5400390625,6516.16015625,6620.47998046875,171929700,^FCHI
2022-03-01,6396.490234375,6396.490234375,6662.25,6396.490234375,6646.16015625,171611200,^FCHI
2022-03-02,6498.02001953125,6498.02001953125,6544.14990234375,6312.2998046875,6359.97998046875,169994900,^FCHI
2022-03-03,6378.3701171875,6378.3701171875,6543.77001953125,6361.60009765625,6488.25,132457000,^FCHI
2022-03-04,6061.66015625,6061.66015625,6321.08984375,6061.66015625,6308.33984375,180586100,^FCHI
2022-03-07,5982.27001953125,5982.27001953125,6115.22998046875,5756.3798828125,5887.830078125,243010200,^FCHI
2022-03-08,5962.9599609375,5962.9599609375,6169.60009765625,5903.10009765625,5906.6201171875,168209400,^FCHI
2022-03-09,6387.830078125,6387.830078125,6387.830078125,6122.7998046875,6131.27978515625,189777300,^FCHI
2022-03-10,6207.2001953125,6207.2001953125,6380.77001953125,6166.10986328125,6376.56982421875,148747200,^FCHI
2022-03-11,6260.25,6260.25,6466.1201171875,6165.41015625,6233.1201171875,136389500,^FCHI
2022-03-14,6369.93994140625,6369.93994140625,6421.080078125,6271.81982421875,6298.9599609375,113227400,^FCHI
2022-03-15,6355.0,6355.0,6383.75,6206.0498046875,6294.72021484375,102702800,^FCHI
2022-03-16,6588.64013671875,6588.64013671875,6680.0,6481.7001953125,6484.330078125,145251100,^FCHI
2022-03-17,6612.52001953125,6612.52001953125,6635.31005859375,6530.7900390625,6617.22998046875,100583800,^FCHI
2022-03-18,6620.240234375,6620.240234375,6620.240234375,6499.58984375,6613.9501953125,191790200,^FCHI
2022-03-21,6582.330078125,6582.330078125,6642.4599609375,6574.06982421875,6608.7900390625,78342900,^FCHI
2022-03-22,6659.41015625,6659.41015625,6666.83984375,6578.91015625,6586.64990234375,79017900,^FCHI
2022-03-23,6581.43017578125,6581.43017578125,6684.7001953125,6559.31005859375,6674.68017578125,76824400,^FCHI
2022-03-24,6555.77001953125,6555.77001953125,6636.580078125,6541.31982421875,6593.14990234375,82199900,^FCHI
2022-03-25,6553.68017578125,6553.68017578125,6615.89990234375,6538.7998046875,6569.4501953125,73936900,^FCHI
2022-03-28,6589.10986328125,6589.10986328125,6683.7001953125,6572.009765625,6578.72021484375,78385700,^FCHI
2022-03-29,6792.16015625,6792.16015625,6829.39990234375,6658.77978515625,6675.14990234375,110146300,^FCHI
2022-03-30,6741.58984375,6741.58984375,6771.08984375,6705.68994140625,6771.08984375,80090300,^FCHI
2022-03-31,6659.8701171875,6659.8701171875,6776.1298828125,6658.740234375,6759.419921875,81436400,^FCHI
2022-04-01,6684.31005859375,6684.31005859375,6708.56005859375,6635.27001953125,6672.97998046875,65149500,^FCHI
2022-04-04,6731.3701171875,6731.3701171875,6745.22021484375,6641.60986328125,6709.60009765625,65186300,^FCHI
2022-04-05,6645.509765625,6645.509765625,6743.6201171875,6603.43994140625,6731.33984375,103817600,^FCHI
2022-04-06,6498.830078125,6498.830078125,6643.75,6442.43994140625,6634.830078125,104806100,^FCHI
2022-04-07,6461.68017578125,6461.68017578125,6582.33984375,6451.10009765625,6530.81982421875,94476400,^FCHI
2022-04-08,6548.22021484375,6548.22021484375,6581.56005859375,6494.6298828125,6540.2001953125,91669300,^FCHI
2022-04-11,6555.81005859375,6555.81005859375,6614.9599609375,6502.14013671875,6558.52978515625,87321100,^FCHI
2022-04-12,6537.41015625,6537.41015625,6570.75,6424.97021484375,6454.25,84720600,^FCHI
2022-04-13,6542.14013671875,6542.14013671875,6563.9599609375,6478.4501953125,6519.16015625,72469400,^FCHI
2022-04-14,6589.35009765625,6589.35009765625,6607.5498046875,6541.89990234375,6557.66015625,79048700,^FCHI
2022-04-19,6534.7900390625,6534.7900390625,6566.7998046875,6494.330078125,6545.97021484375,0,^FCHI
2022-04-20,6624.91015625,6624.91015625,6636.5498046875,6542.2099609375,6557.9599609375,87010800,^FCHI
2022-04-21,6715.10009765625,6715.10009765625,6757.75,6636.7900390625,6642.7099609375,88762200,^FCHI
2022-04-22,6581.419921875,6581.419921875,6654.64013671875,6572.8701171875,6618.68994140625,83469100,^FCHI
2022-04-25,6449.3798828125,6449.3798828125,6512.259765625,6408.7099609375,6450.89990234375,94933200,^FCHI
2022-04-26,6414.56982421875,6414.56982421875,6535.919921875,6412.490234375,6520.009765625,95230800,^FCHI
2022-04-27,6445.259765625,6445.259765625,6474.9599609375,6338.60986328125,6427.39990234375,92040000,^FCHI
2022-04-28,6508.14013671875,6508.14013671875,6575.9501953125,6435.75,6520.52978515625,76048900,^FCHI
2022-04-29,6533.77001953125,6533.77001953125,6601.14990234375,6514.10009765625,6557.66015625,83799400,^FCHI
2022-05-02,6425.60986328125,6425.60986328125,6474.81005859375,6308.47021484375,6469.31005859375,87523700,^FCHI
2022-05-03,6476.18017578125,6476.18017578125,6507.1298828125,6423.02978515625,6463.72998046875,83360000,^FCHI
2022-05-04,6395.68017578125,6395.68017578125,6494.990234375,6395.68017578125,6482.259765625,72296900,^FCHI
2022-05-05,6368.39990234375,6368.39990234375,6558.91015625,6350.66015625,6549.490234375,96424000,^FCHI
2022-05-06,6258.35986328125,6258.35986328125,6322.43017578125,6213.64013671875,6318.66015625,113118300,^FCHI
2022-05-09,6086.02001953125,6086.02001953125,6260.85009765625,6086.02001953125,6207.14990234375,91595000,^FCHI
2022-05-10,6116.91015625,6116.91015625,6206.56005859375,6116.91015625,6151.52001953125,90242000,^FCHI
2022-05-11,6269.72998046875,6269.72998046875,6269.72998046875,6137.240234375,6173.10009765625,106223700,^FCHI
2022-05-12,6206.259765625,6206.259765625,6238.25,6098.22021484375,6130.68994140625,105839000,^FCHI
2022-05-13,6362.68017578125,6362.68017578125,6363.240234375,6238.7900390625,6250.16015625,85955800,^FCHI
2022-05-16,6347.77001953125,6347.77001953125,6369.0498046875,6286.02001953125,6315.68017578125,75092100,^FCHI
2022-05-17,6430.18994140625,6430.18994140625,6448.330078125,6373.72998046875,6379.33984375,86952900,^FCHI
2022-05-18,6352.93994140625,6352.93994140625,6455.7998046875,6342.669921875,6440.2998046875,80314700,^FCHI
2022-05-19,6272.7099609375,6272.7099609375,6288.990234375,6196.18994140625,6279.68994140625,86227400,^FCHI
2022-05-20,6285.240234375,6285.240234375,6377.580078125,6264.83984375,6305.4599609375,92863400,^FCHI
2022-05-23,6358.740234375,6358.740234375,6358.740234375,6263.9599609375,6350.8798828125,82641900,^FCHI
2022-05-24,6253.14013671875,6253.14013671875,6322.740234375,6243.83984375,6282.31982421875,72012900,^FCHI
2022-05-25,6298.64013671875,6298.64013671875,6319.2900390625,6229.83984375,6296.27978515625,75143000,^FCHI
2022-05-26,6410.580078125,6410.580078125,6424.8798828125,6298.4501953125,6301.490234375,66120600,^FCHI
2022-05-27,6515.75,6515.75,6519.72998046875,6424.85009765625,6445.25,70892100,^FCHI
2022-05-30,6562.39013671875,6562.39013671875,6582.0498046875,6536.77001953125,6547.85986328125,69803300,^FCHI
2022-05-31,6468.7998046875,6468.7998046875,6543.419921875,6457.52978515625,6539.85986328125,162340000,^FCHI
2022-06-01,6418.89013671875,6418.89013671875,6510.259765625,6414.22021484375,6509.18994140625,74750900,^FCHI
2022-06-02,6500.43994140625,6500.43994140625,6506.60009765625,6447.2998046875,6447.3701171875,57959900,^FCHI
2022-06-03,6485.2998046875,6485.2998046875,6547.81982421875,6473.740234375,6545.0,48236300,^FCHI
2022-06-06,6548.77978515625,6548.77978515625,6593.14990234375,6533.81982421875,6533.81982421875,60142400,^FCHI
2022-06-07,6500.35009765625,6500.35009765625,6523.60009765625,6459.919921875,6523.16015625,66096000,^FCHI
2022-06-08,6448.6298828125,6448.6298828125,6517.5498046875,6413.8701171875,6517.5498046875,73239600,^FCHI
2022-06-09,6358.4599609375,6358.4599609375,6456.91015625,6342.990234375,6412.580078125,72804300,^FCHI
2022-06-10,6187.22998046875,6187.22998046875,6325.89013671875,6177.31005859375,6316.41015625,103756400,^FCHI
2022-06-13,6022.31982421875,6022.31982421875,6122.259765625,6006.27978515625,6088.0498046875,106541000,^FCHI
2022-06-14,5949.83984375,5949.83984375,6075.3701171875,5934.1201171875,6063.7998046875,85949300,^FCHI
2022-06-15,6030.1298828125,6030.1298828125,6062.6201171875,5972.31005859375,6022.83984375,93774600,^FCHI
